"SpeciesCode","ScientificName","Family","GrowthHabit","GrowthHabitSub","Duration","Noxious","SG_Group","SynonymOf","created_user","created_date","last_edited_user","last_edited_date","GlobalID","CommonName","DateLoadedInDb","SpeciesState","Notes","UpdatedSpeciesCode","AllCalcs"
"CHSC","Chamaechaenactis scaposa (Eastw.) Rydb.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{1DE9A97D-EE7C-4385-8CCA-B18C49660E89}","fullstem","2018-09-01","UT",NA,NA,NA
"CHSCS","Chamaechaenactis scaposa (Eastw.) Rydb. var. scaposa ","Asteraceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{6E0A34AC-A8AC-4364-A2DE-BACEE18EB1E7}","fullstem","2018-09-01","UT",NA,NA,NA
"CHER","Chamaerhodos erecta (L.) Bunge ","Rosaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{90036C17-17FA-4026-A473-C96248DAF7BB}","little rose","2018-09-01","UT",NA,NA,NA
"CHSO","Chamaesaracha sordida","Solanaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2413C26E-CBD6-4668-82A1-B4E5E6CAE8A7}","hairy five eyes","2018-09-01","UT",NA,NA,NA
"CHAL11","Chamaesyce albomarginata","Euphorbiaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{EAAB016C-11EC-4232-9F1E-457293AD695C}","whitemargin sandmat","2018-09-01","UT",NA,NA,NA
"CHFE3","Chamaesyce fendleri (Torr. & A. Gray) Small","Euphorbiaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{5CE8AAD7-35C7-437E-AC60-AF6E0CDFE7F7}","Fendler's sandmat","2018-09-01","UT",NA,NA,NA
"CHGEG","Chamaesyce geyeri (Engelm. & A. Gray) Small var. geyeri ","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{68355707-4E91-44AD-B519-316D1FB47958}","Geyer's sandmat","2018-09-01","UT",NA,NA,NA
"CHGL13","Chamaesyce glyptosperma (Engelm.) Small","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7319333A-2179-4B2F-B3D1-BCB62AD4A298}","ribseed sandmat","2018-09-01","UT",NA,"CHGEG",NA
"CHAMA15","Chamaesyce Gray","Euphorbiaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{B007D8C7-5FD2-4BC6-AD88-605B4CAF34E4}","sandmat","2018-09-01","UT",NA,"CHAL11",NA
"CHMI7","Chamaesyce micromera","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2ACF2D2D-B1DA-4BBE-BF6D-47BF609E391B}","Sonoran sandmat","2018-09-01","UT",NA,NA,NA
"CHPA28","Chamaesyce parryi (Engelm.) Rydb.","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{DB56081C-DAF3-4DBE-B55C-A7A3A9E45689}","Parry's sandmat","2018-09-01","UT",NA,NA,NA
"CHRE4","Chamaesyce revoluta (Engelm.) Small ","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0D4B3B52-7E75-4677-9C5C-7C77E5B7EA47}","threadstem sandmat","2018-09-01","UT",NA,NA,NA
"CHSE4","Chamaesyce serpens (Kunth) Small ","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{470E6B16-893A-4227-B724-7878C926AC0A}","matted sandmat","2018-09-01","UT",NA,NA,NA
"CHSE6","Chamaesyce serpyllifolia (Pers.) Small","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0803F5C6-6FAA-4CEE-ACD7-D80379B88A72}","thymeleaf sandmat","2018-09-01","UT",NA,"CHSE4",NA
"CHSE7","Chamaesyce serrula","Euphorbiaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{5C66D857-9605-4F49-A9C3-270BA9797112}","sawtooth sandmat","2018-09-01","UT",NA,NA,NA
"CHAN9","Chamerion angustifolium (L.) Holub","Onagraceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2F4F19AF-A60D-4551-A634-A256DDFC8722}","fireweed","2018-09-01","UT",NA,"CAWAW2",NA
"CHANA2","Chamerion angustifolium (L.) Holub ssp. angustifolium","Onagraceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{C91EED2A-66AF-4C38-8FE4-8E863C55DB9E}","fireweed","2018-09-01","UT",NA,"CAWAW2",NA
"CHLA13","Chamerion latifolium (L.) Holub ","Onagraceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{C1161C4B-FE15-478E-84DF-70EEFBA8D0DA}","dwarf fireweed","2018-09-01","UT",NA,NA,NA
"CHAME2","Chamerion Raf. ex Holub","Onagraceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{5360198E-6AC6-4FD2-BC0E-49B6F083E2BE}","fireweed","2018-09-01","UT",NA,NA,NA
"CHCO15","Cheilanthes cochisensis","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{45F60DC9-44DB-4BFF-988E-C716F9038A31}","Cochise scaly cloakfern","2018-09-01","UT",NA,"ASCO42",NA
"CHEA","Cheilanthes eatonii Baker","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9101DF56-49C1-4642-AC86-AD4A806713C1}","Eaton's lipfern","2018-09-01","UT",NA,NA,NA
"CHFE","Cheilanthes feei T. Moore","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{482030CA-7C3F-4A03-B66F-03769E633F1F}","slender lipfern","2018-09-01","UT",NA,NA,NA
"CHFE2","Cheilanthes fendleri Hook.","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{941FCCC1-73EC-4282-BA35-E65F7E741240}","Fendler's lipfern","2018-09-01","UT",NA,"CHEA",NA
"CHSIC","Cheilanthes sinuata var. cochisensis","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{C90D20F8-93F4-48BB-B501-C8E1882F7CCE}","Cochise scaly cloakfern","2018-09-01","UT",NA,"ASCO42",NA
"CHALA","Chenopodium album L. var. album","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0CEEC646-42D4-4D07-999D-94B3761DA3BF}","lambsquarters","2018-09-01","UT",NA,"BASSI",NA
"CHAL7","Chenopodium album L. ","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{C3D88977-82F7-49F8-87E6-3A479CFEA19E}","lambsquarters","2018-09-01","UT",NA,NA,NA
"CHAT","Chenopodium atrovirens Rydb.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{DBDDE254-DD0D-46D3-B8F0-B347E7D9BB7E}","pinyon goosefoot","2018-09-01","UT",NA,NA,NA
"CHBE4","Chenopodium berlandieri Moq.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{63309A28-8342-4AE0-AC2E-DC5AB542E293}","pitseed goosefoot","2018-09-01","UT",NA,NA,NA
"BLCA","Chenopodium capitatum (L.) Asch.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0ABD4C98-F189-4DA0-8DDF-19769AE88B45}","blite goosefoot","2018-09-01","UT",NA,"CHCA4",NA
"CHCA4","Chenopodium capitatum (L.) Asch.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{AEDE1308-EC13-481A-A6DA-C281C912012F}","blite goosefoot","2018-09-01","UT",NA,NA,NA
"CHCH","Chenopodium chenopodioides (L.) Aellen","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D6C14750-1A0E-428F-91F8-B0339DEB68AD}","low goosefoot","2018-09-01","UT",NA,NA,NA
"CHCY","Chenopodium cycloides A. Nelson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F2C60F2A-5CA6-49A4-B42E-36018EFB2CCF}","sandhill goosefoot","2018-09-01","UT",NA,"CHCA4",NA
"CHDA4","Chenopodium dacoticum","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{3AF97BEA-5312-47B5-BD2A-86F60E866779}","Watson's goosefoot","2018-09-01","UT",NA,"CHST2",NA
"CHDE","Chenopodium desiccatum A. Nelson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{81614842-CA57-477E-8D15-ACE3D8AE41EC}","aridland goosefoot","2018-09-01","UT",NA,"CHCH",NA
"CHFR3","Chenopodium fremontii S. Watson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{A45E3066-09C1-4DD2-89C3-B3236EC4B6AA}","Fremont's goosefoot","2018-09-01","UT",NA,NA,NA
"CHFRF","Chenopodium fremontii S. Watson var. fremontii","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8CD44ACE-83E2-446E-A2F1-3AEEA6169FAE}","Fremont's goosefoot","2018-09-01","UT",NA,NA,NA
"CHGL7","Chenopodium glabrescens","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{66BF6553-561B-4A1E-896C-A5EE191F4687}","Watson's goosefoot","2018-09-01","UT",NA,"CHST2",NA
"CHGL3","Chenopodium glaucum L. ","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{4DC8B897-786F-41B7-B91A-A88D376CC610}","oakleaf goosefoot","2018-09-01","UT",NA,NA,NA
"CHHI","Chenopodium hians Standl.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{176223DA-EA54-46A7-8E90-DA333C4A7CBC}","hians goosefoot","2018-09-01","UT",NA,NA,NA
"CHIN2","Chenopodium incanum (S. Watson) A. Heller","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{CE99BCC4-61AE-47A7-95E1-B3607FB8D696}","mealy goosefoot","2018-09-01","UT",NA,NA,NA
"CHINI","Chenopodium incanum (S. Watson) A. Heller var. incanum ","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9374B0C7-3E76-4C6B-B926-3913702376D5}","mealy goosefoot","2018-09-01","UT",NA,NA,NA
"CHLE4","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{81EBD5EC-5CE3-4712-A017-915ECFE363C0}","narrowleaf goosefoot","2018-09-01","UT",NA,"CHINI",NA
"CHLEO","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson var. oblongifolium S. Watson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{19DECF51-7291-4629-9DF7-8A65F61E7C2A}","aridland goosefoot","2018-09-01","UT",NA,"CHCH",NA
"CHOL6","Chenopodium olidum","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8514791A-EC2C-4A98-B003-412727968884}","Watson's goosefoot","2018-09-01","UT",NA,"CHST2",NA
"CHOV","Chenopodium overi Aellen","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F407FE39-49FD-42E4-B624-07123F4140DF}","Over's goosefoot","2018-09-01","UT",NA,"CHINI",NA
"CHPR5","Chenopodium pratericola Rydb.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{27C77018-7305-48BA-8F5D-A1025FB2F8E4}","desert goosefoot","2018-09-01","UT",NA,"CHAL6",NA
"CHAL6","Chenopodium pratericola Rydb. ","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{67DFB62D-DE71-4A79-87CC-D6D4CD321672}","desert goosefoot","2018-09-01","UT",NA,NA,NA
"CHSI2","Chenopodium simplex (Torr.) Raf.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{21E04BCB-C9E7-43FC-8E4B-A0735CE4A78A}","Mapleleaf goosefoot","2018-09-01","UT",NA,NA,NA
"CHENO","Chenopodium spp.","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{296D5E73-7F5C-4FA3-B653-516637EDD694}","Goosefoot","2018-09-01","UT",NA,NA,NA
"CHST2","Chenopodium standleyanum Aellen","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{4F2161C4-0915-47E7-B3AD-CBEB93812CED}","Standley's goosefoot","2018-09-01","UT",NA,NA,NA
"CHWA","Chenopodium watsonii A. Nelson","Chenopodiaceae","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{897E0CAB-BB37-433E-A133-9B6CB550E7EB}","Watson's goosefoot","2018-09-01","UT",NA,"CHST2",NA
"CHUM","Chimaphila umbellata (L.) W.P.C. Barton","Pyrolaceae","Woody","SubShrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F62DF6D0-F15E-4D50-8D95-B12E7343562B}","pipsissewa","2018-09-01","UT",NA,NA,NA
"CHDU2","Chloris dubia","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{11E5735A-04D1-4C63-B1A4-30D08C278517}","green sprangletop","2018-09-01","UT",NA,"LEDU",NA
"CHVI4","Chloris virgata Sw.","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2A261ABA-F53C-4482-8614-CD29A05D9F6B}","feather fingergrass","2018-09-01","UT",NA,NA,NA
"CHAL16","Chlorocrepis albiflora","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D4D3BE5F-4553-4C87-8906-AB0AFF8ED0AD}","white hawkweed","2018-09-01","UT",NA,NA,NA
"CHFE5","Chlorocrepis fendleri","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{66B1ED05-993D-49D9-8D12-9D84EB48A68E}","yellow hawkweed","2018-09-01","UT",NA,"HIFEF",NA
"CHBA12","Chondrosum barbata","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F8390215-E6FB-4310-999F-AA601AF12DF9}","sixweeks grama","2018-09-01","UT",NA,"BOBA2",NA
"CHER4","Chondrosum eriopodum","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{DE2E6063-4314-4681-868D-9D6E14F32687}","black grama","2018-09-01","UT",NA,"BOER4",NA
"CHEX3","Chondrosum exile","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{881C9A60-D741-4BBF-AF57-08283680022B}","sixweeks grama","2018-09-01","UT",NA,"BOBA2",NA
"CHGR15","Chondrosum gracile","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0B33D132-F5CC-4981-B7B9-D424EED206C7}","blue grama","2018-09-01","UT",NA,"BOGR2",NA
"CHMI15","Chondrosum microstachyum","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2962CB45-42EB-40F1-BD04-45105307E5A9}","sixweeks grama","2018-09-01","UT",NA,"BOBA2",NA
"CHOL5","Chondrosum oligostachyum","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{27BEF22B-EE49-416B-833E-C7AC332F613E}","blue grama","2018-09-01","UT",NA,"BOGR2",NA
"CHPA19","Chondrosum parryi","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8A354D01-08B3-4CFA-9A44-70D086F1BB21}","Parry's grama","2018-09-01","UT",NA,"BOPA2",NA
"CHPO9","Chondrosum polystachyum","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{88AD39DB-5DF9-479B-8528-4E865C564F7C}","sixweeks grama","2018-09-01","UT",NA,"BOBA2",NA
"CHSU12","Chondrosum subscorpioides","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8ADDD48E-94E2-47CA-8992-B966BD131AAD}","sixweeks grama","2018-09-01","UT",NA,"BOBA2",NA
"CHTE2","Chorispora tenella","Brassicaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{C6D0B9D4-84DE-4AFA-9625-EEAB9866C3E2}","Purple mustard","2018-09-01","UT",NA,NA,NA
"CHJU","Chrondrilla juncea","Asteraceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8EB54322-AB7B-4508-9A59-0697140246BA}","Rush skeletonweed","2018-09-01","UT",NA,NA,NA
"CHVI10","Chrysopsis villosa (Pursh) Nutt. ex DC.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{409B70D7-735C-4916-86D2-0A4AFCED22E8}","hairy false goldenaster","2018-09-01","UT",NA,"HEVIV",NA
"CHRYS9","Chrysothamnus","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{E3C74260-A76C-40E6-B00F-1A0697821024}","rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHDE2","Chrysothamnus depressus Nutt.","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9CAB2AA5-4512-421E-AA7B-AFF535B71B27}","longflower rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHGR6","Chrysothamnus greenei (A. Gray) Greene ","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{02A78BE5-6CBA-4BC7-9246-DDDEF65A92E8}","Greene's rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHLI3","Chrysothamnus linifolius Greene","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{2EE6CC87-FF59-4D65-AA7E-AC46B23342F7}","spearleaf rabbitbrush","2018-09-01","UT",NA,"CHGR6",NA
"CHVIF2","Chrysopsis villosa (Pursh) Nutt. ex DC. var. foliosa (Nutt.) D.C. Eaton","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F303241D-5C18-4493-8B53-2F4C8AB93563}","hariy flase goldenaster","2018-09-01","UT",NA,"HEVIF",NA
"CHAL9","Chrysothamnus albidus (M.E. Jones ex. A. Gray) Greene","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{816B2B13-6E11-4463-9B61-0DE9E1274E83}","whiteflower rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHNA2","Chrysothamnus nauseosus","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7F3B3BBF-03F4-4E22-A22E-BF3535FCAA38}","Rubber rabbitbrush","2018-09-01","UT",NA,"ERNAN5",NA
"CHNAA3","Chrysothamnus nauseosus (Pall. ex Pursh) Britton ssp. albicaulis (Nutt.) H.M. Hall & Clem.","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{31A012E5-671B-43E0-A426-316FC384ABAF}","rubber rabbitbrush","2018-09-01","UT",NA,"ERNAN5",NA
"CHVA2","Chrysothamnus vaseyi (A. Gray) Greene","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{877B5D26-168B-43E4-9ADA-977F8C2254AA}","Vasey's rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHVI8","Chrysothamnus viscidiflorus","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0BFC6978-4988-40E9-9370-44343C2A56D8}","Douglas rabbitbrush, green rabbitbrush","2018-09-01","UT",NA,NA,NA
"CHVIA4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. axillaris (D.D. Keck) L.C. Anderson","Asteraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{67AD917B-3CA7-4752-A675-FE6C7C2921E1}","yellow rabbitbrush","2018-09-01","UT",NA,"CHAX",NA
